index,timestamp,deviceId,battery,ppgSignal,heartRate,spO2,redAdc,irAdc,spO2Status,perfusionIndex,PPG
86097,1678518734398,4,4047.65625,17588,89,98.2,559906,230656,0,3.7,
86098,1678518734398,4,4047.65625,16414,89,98.2,559865,230433,0,3.7,
86099,1678518734413,4,4047.65625,15276,89,98.2,559284,230108,0,3.7,
86100,1678518734428,4,4047.65625,14246,89,98.2,558605,229581,0,3.7,
86101,1678518734428,4,4047.65625,13324,89,98.2,557767,228852,0,3.7,
86102,1678518734443,4,4047.65625,12585,89,98.2,556636,228233,0,3.7,
86103,1678518734458,4,4047.65625,12064,89,98.2,555692,227535,0,3.7,
86104,1678518734458,4,4047.65625,11833,89,98.2,555060,226978,0,3.7,
86105,1678518734473,4,4047.65625,11967,89,98.2,554300,226515,0,3.7,
86106,1678518734488,4,4047.65625,12538,89,98.2,553713,226217,0,3.7,
86107,1678518734489,4,4047.65625,13582,89,98.2,553585,225981,0,3.7,
86108,1678518734503,4,4047.65625,15064,89,98.2,553457,225915,0,3.7,
86109,1678518734518,4,4047.65625,16984,89,98.2,553298,225815,0,3.7,
86110,1678518734519,4,4047.65625,19309,89,98.2,553438,225851,0,3.7,
86111,1678518734533,4,4047.65625,21929,89,98.2,553493,225930,0,3.7,
86112,1678518734563,4,4047.65625,24737,89,98.2,553554,225947,0,3.7,
86113,1678518734563,4,4047.65625,27625,89,98.2,553686,226000,0,3.7,
86114,1678518734564,4,4047.65625,30449,89,98.2,553648,226047,0,3.7,
86115,1678518734578,4,4047.65625,33172,89,98.2,553452,226071,0,3.7,
86116,1678518734593,4,4047.65625,35648,89,98.2,553721,226117,0,3.7,
86117,1678518734593,4,4047.65625,37798,89,98.2,553823,226161,0,3.7,
86118,1678518734608,4,4047.65625,39584,89,98.2,553812,226228,0,3.7,
86119,1678518734623,4,4047.65625,40967,89,98.2,553941,226325,0,3.7,
86120,1678518734624,4,4047.65625,41944,89,98.2,554131,226410,0,3.7,
86121,1678518734638,4,4047.65625,42515,89,98.2,554130,226583,0,3.7,
86122,1678518734653,4,4047.65625,42714,89,98.2,554349,226646,0,3.7,
86123,1678518734653,4,4047.65625,42615,89,98.2,554383,226710,0,3.7,
86124,1678518734668,4,4047.65625,42217,89,98.2,554492,226827,8,3.7,
86125,1678518734684,4,4047.65625,41557,89,98.2,554670,226904,0,3.7,
86126,1678518734684,4,4047.65625,40746,89,98.2,554598,226952,0,3.7,
86127,1678518734698,4,4047.65625,39820,89,98.2,554752,227039,0,3.7,
86128,1678518734713,4,4047.65625,38816,89,98.2,554723,227011,0,3.7,
86129,1678518734713,4,4047.65625,37810,89,98.2,554732,227051,0,3.7,
86130,1678518734728,4,4047.65625,36838,89,98.2,554869,227147,0,3.7,
86131,1678518734743,4,4047.65625,35901,89,98.2,555057,227169,0,3.7,
86132,1678518734744,4,4047.65625,35037,89,98.2,555035,227264,0,3.7,
86133,1678518734758,4,4047.65625,34245,89,98.2,555118,227285,0,3.7,
86134,1678518734773,4,4047.65625,33565,89,98.2,555256,227389,0,3.7,
86135,1678518734774,4,4047.65625,32995,89,98.2,555444,227538,0,3.7,
86136,1678518734788,4,4047.65625,32538,89,98.2,555672,227760,0,2.8,
86137,1678518734803,4,4047.65625,32156,89,98.2,555872,227848,0,2.8,
86138,1678518734803,4,4047.65625,31848,89,98.2,556091,228008,0,2.8,
86139,1678518734819,4,4047.65625,31540,89,98.2,556268,228213,0,2.8,
86140,1678518734833,4,4047.65625,31230,89,98.2,556598,228285,0,2.8,
86141,1678518734833,4,4047.65625,30919,89,98.2,556882,228634,0,2.8,
86142,1678518734848,4,4047.65625,30530,89,98.2,557245,228879,0,2.8,
86143,1678518734863,4,4047.65625,30101,89,98.2,557451,229018,0,2.8,
86144,1678518734863,4,4047.65625,29555,89,98.2,557742,229239,0,2.8,
86145,1678518734878,4,4047.65625,28929,89,98.2,558086,229470,0,2.8,
86146,1678518734894,4,4047.65625,28185,89,98.2,558206,229629,0,2.8,
86147,1678518734894,4,4047.65625,27360,89,98.2,558594,229832,0,2.8,
86148,1678518734908,4,4047.65625,26378,89,98.2,558864,229944,0,2.8,
86149,1678518734923,4,4047.65625,25315,89,98.2,559024,230154,0,2.8,
86150,1678518734925,4,4047.65625,24171,89,98.2,559338,230302,0,2.8,
86151,1678518734938,4,4047.65625,22986,89,98.2,559448,230490,0,2.8,
86152,1678518734953,4,4047.65625,21720,89,98.2,559674,230633,0,2.8,
86153,1678518734953,4,4047.65625,20491,89,98.2,559991,230860,0,2.8,
86154,1678518734968,4,4047.65625,19260,89,98.2,560172,230915,0,2.8,
86155,1678518734983,4,4047.65625,17989,89,98.2,560273,231122,0,2.8,
86156,1678518734983,4,4047.65625,16795,89,98.2,560630,231253,0,2.8,
86157,1678518734998,4,4047.65625,15639,89,98.2,560862,231357,0,2.8,
86158,1678518735013,4,4047.65625,14562,89,98.2,560859,231520,0,2.8,
86159,1678518735013,4,4047.65625,13524,89,98.2,561156,231691,0,2.8,
86160,1678518735028,4,4047.65625,12565,89,98.2,561430,231747,0,2.8,
86161,1678518735043,4,4047.65625,11646,89,98.2,561471,231934,0,2.8,
86162,1678518735044,4,4047.65625,10805,89,98.2,561699,232064,0,2.8,
86163,1678518735058,4,4047.65625,10044,89,98.2,561930,232078,0,2.8,
86164,1678518735073,4,4047.65625,9323,89,98.2,561400,231918,0,2.8,
86165,1678518735074,4,4047.65625,8682,89,98.2,561236,231604,0,2.8,
86166,1678518735088,4,4047.65625,8120,89,98.2,560473,231059,0,2.8,
86167,1678518735103,4,4047.65625,7677,89,98.2,559531,230522,0,2.8,
86168,1678518735103,4,4047.65625,7353,89,98.2,558888,229894,0,2.8,
86169,1678518735118,4,4047.65625,7268,89,98.2,557981,229189,0,2.8,
86170,1678518735133,4,4047.65625,7419,89,98.2,556822,228661,0,2.8,
86171,1678518735133,4,4047.65625,7887,89,98.2,556506,228271,0,2.8,
86172,1678518735148,4,4047.65625,8790,89,98.2,555997,227933,0,2.8,
86173,1678518735163,4,4047.65625,10088,89,98.2,555685,227724,0,2.8,
86174,1678518735178,4,4047.65625,11782,89,98.2,555572,227597,0,2.8,
86175,1678518735179,4,4047.65625,13911,89,98.2,555587,227570,0,2.8,
86176,1678518735193,4,4047.65625,16359,89,98.2,555294,227489,0,2.8,
86177,1678518735208,4,4047.65625,19086,89,98.2,555572,227576,0,2.8,
86178,1678518735209,4,4047.65625,22016,89,98.2,555558,227531,0,2.8,
86179,1678518735223,4,4047.65625,24991,89,98.2,555516,227608,0,2.8,
86180,1678518735238,4,4047.65625,27934,89,98.2,555786,227706,0,2.8,
86181,1678518735238,4,4047.65625,30726,89,98.2,555701,227648,0,2.8,
86182,1678518735253,4,4047.65625,33288,89,98.2,555648,227754,0,2.8,
86183,1678518735268,4,4047.65625,35538,89,98.2,555862,227740,0,2.8,
86184,1678518735269,4,4047.65625,37434,89,98.2,555738,227720,0,2.8,
86185,1678518735283,4,4047.65625,38932,89,98.2,555786,227829,0,2.8,
86186,1678518735298,4,4047.65625,39991,89,98.2,556032,228011,0,2.8,
86187,1678518735298,4,4047.65625,40648,89,98.2,556244,228133,0,2.8,
86188,1678518735313,4,4047.65625,40943,89,98.2,556427,228243,0,2.8,
86189,1678518735328,4,4047.65625,40914,89,98.2,556545,228309,0,2.8,
86190,1678518735329,4,4047.65625,40560,89,98.2,556812,228411,8,2.8,
86191,1678518735343,4,4047.65625,39962,89,98.2,556632,228471,0,2.8,
86192,1678518735358,4,4047.65625,39159,89,98.2,556788,228467,0,2.8,
86193,1678518735358,4,4047.65625,38272,89,98.2,556765,228455,0,2.8,
86194,1678518735374,4,4047.65625,37260,89,98.2,556634,228403,0,2.8,
86195,1678518735388,4,4047.65625,36245,89,98.2,556593,228384,0,2.8,
86196,1678518735388,4,4047.65625,35226,89,98.2,556564,228342,0,2.8,
86197,1678518735403,4,4047.65625,34245,89,98.2,556578,228448,0,2.8,
86198,1678518735419,4,4047.65625,33384,89,98.2,556693,228299,0,2.8,
86199,1678518735419,4,4047.65625,32643,89,98.2,556668,228356,0,2.8,
86200,1678518735433,4,4047.65625,32023,89,98.2,556670,228445,0,2.8,
86201,1678518735450,4,4047.65625,31567,89,98.2,556649,228402,0,2.8,
86202,1678518735450,4,4047.65625,31233,89,98.2,556835,228580,0,2.8,
86203,1678518735463,4,4047.65625,31064,89,98.2,556968,228615,0,2.8,
86204,1678518735478,4,4047.65625,30977,89,98.2,557096,228702,0,2.8,
86205,1678518735479,4,4047.65625,30974,89,98.2,557198,228808,0,2.8,
86206,1678518735495,4,4047.65625,31012,89,98.2,557361,228962,0,2.8,
86207,1678518735508,4,4047.65625,31093,89,98.2,557450,229041,0,2.8,
86208,1678518735508,4,4047.65625,31132,89,98.2,557638,229122,0,2.8,
86209,1678518735523,4,4047.65625,31129,89,98.2,557647,229229,0,2.8,
86210,1678518735538,4,4047.65625,31083,89,98.2,557703,229187,0,2.8,
86211,1678518735539,4,4047.65625,30996,89,98.2,557806,229347,0,2.8,
86212,1678518735553,4,4047.65625,30781,89,98.2,557956,229504,0,2.8,
86213,1678518735568,4,4047.65625,30482,89,98.2,558061,229577,0,2.8,
86214,1678518735568,4,4047.65625,30138,89,98.2,558369,229738,0,2.8,
86215,1678518735583,4,4047.65625,29666,89,98.2,558510,229862,0,2.8,
86216,1678518735598,4,4047.65625,29150,89,98.2,558623,229985,0,2.8,
86217,1678518735598,4,4047.65625,28547,89,98.2,558925,230089,0,2.8,
86218,1678518735613,4,4047.65625,27943,89,98.2,559057,230255,0,2.8,
86219,1678518735628,4,4047.65625,27251,89,98.2,559157,230301,0,2.8,
86220,1678518735629,4,4047.65625,26514,89,98.2,559379,230489,0,2.8,
86221,1678518735643,4,4047.65625,25732,89,98.2,559552,230668,0,2.8,
86222,1678518735658,4,4047.65625,24948,89,98.2,559728,230751,0,2.8,
86223,1678518735658,4,4047.65625,24120,89,98.2,560115,230940,0,2.8,
86224,1678518735673,4,4047.65625,23290,89,98.2,560241,231037,0,2.8,
86225,1678518735688,4,4047.65625,22458,89,98.2,560352,231106,0,2.8,
86226,1678518735689,4,4047.65625,21624,89,98.2,560595,231228,0,2.8,
86227,1678518735704,4,4047.65625,20746,89,98.2,560596,231264,0,2.8,
86228,1678518735718,4,4047.65625,19910,89,98.2,560493,231177,0,2.8,
86229,1678518735734,4,4047.65625,19072,89,98.2,560298,231000,0,2.8,
86230,1678518735734,4,4047.65625,18277,89,98.2,559522,230475,0,2.8,
86231,1678518735748,4,4047.65625,17525,89,98.2,558789,229822,0,2.8,
86232,1678518735763,4,4047.65625,16902,89,98.2,557947,229232,0,2.8,
86233,1678518735764,4,4047.65625,16453,89,98.2,557051,228482,0,2.8,
86234,1678518735778,4,4047.65625,16308,89,98.2,556011,227823,0,2.8,
86235,1678518735779,4,4047.65625,16467,89,98.2,555389,227303,0,2.8,
86236,1678518735793,4,4047.65625,17019,89,98.4,554621,226798,0,2.8,
86237,1678518735808,4,4047.65625,18095,89,98.4,554073,226304,0,2.8,
86238,1678518735823,4,4047.65625,19653,89,98.4,553733,226109,0,2.8,
86239,1678518735823,4,4047.65625,21738,89,98.4,553531,225991,0,2.8,
86240,1678518735838,4,4047.65625,24265,89,98.4,553494,225927,0,2.8,
86241,1678518735853,4,4047.65625,27236,89,98.4,553438,225948,0,2.8,
